68034 silly lifecycle is-utf8@0.2.1~preinstall: no script for preinstall, continuing
71063 verbose linkMans camelcase-keys@2.1.0
71064 silly build map-stream@0.1.0
71065 info linkStuff map-stream@0.1.0
71066 silly linkStuff map-stream@0.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71067 verbose linkBins map-stream@0.1.0
71068 verbose linkMans map-stream@0.1.0
71069 silly build math-expression-evaluator@1.2.16
71070 info linkStuff math-expression-evaluator@1.2.16
71071 silly linkStuff math-expression-evaluator@1.2.16 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71072 verbose linkBins math-expression-evaluator@1.2.16
71073 verbose linkMans math-expression-evaluator@1.2.16
71074 silly build media-typer@0.3.0
71075 info linkStuff media-typer@0.3.0
71076 silly linkStuff media-typer@0.3.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71077 verbose linkBins media-typer@0.3.0
71078 verbose linkMans media-typer@0.3.0
71079 silly build merge@1.2.0
71080 info linkStuff merge@1.2.0
71081 silly linkStuff merge@1.2.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71082 verbose linkBins merge@1.2.0
71083 verbose linkMans merge@1.2.0
71084 silly build isarray@1.0.0
71085 info linkStuff isarray@1.0.0
71086 silly linkStuff isarray@1.0.0 has C:\Users\pozda\bmsk\node_modules\merge-stream\node_modules as its parent node_modules
71087 verbose linkBins isarray@1.0.0
71088 verbose linkMans isarray@1.0.0
71089 silly build methods@0.1.0
71090 info linkStuff methods@0.1.0
71091 silly linkStuff methods@0.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71092 verbose linkBins methods@0.1.0
71093 verbose linkMans methods@0.1.0
71094 silly build mime@1.2.11
71095 info linkStuff mime@1.2.11
71096 silly linkStuff mime@1.2.11 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71097 verbose linkBins mime@1.2.11
71098 verbose linkMans mime@1.2.11
71099 silly build mime-db@1.26.0
71100 info linkStuff mime-db@1.26.0
71101 silly linkStuff mime-db@1.26.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71102 verbose linkBins mime-db@1.26.0
71103 verbose linkMans mime-db@1.26.0
71104 silly build mime-types@2.1.14
71105 info linkStuff mime-types@2.1.14
71106 silly linkStuff mime-types@2.1.14 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71107 verbose linkBins mime-types@2.1.14
71108 verbose linkMans mime-types@2.1.14
71109 silly build form-data@2.1.2
71110 info linkStuff form-data@2.1.2
71111 silly linkStuff form-data@2.1.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71112 verbose linkBins form-data@2.1.2
71113 verbose linkMans form-data@2.1.2
71114 silly build minimatch@3.0.3
71115 info linkStuff minimatch@3.0.3
71116 silly linkStuff minimatch@3.0.3 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71117 verbose linkBins minimatch@3.0.3
71118 verbose linkMans minimatch@3.0.3
71119 silly build minimist@1.2.0
71120 info linkStuff minimist@1.2.0
71121 silly linkStuff minimist@1.2.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71122 verbose linkBins minimist@1.2.0
71123 verbose linkMans minimist@1.2.0
71124 silly build minimist@0.0.8
71125 info linkStuff minimist@0.0.8
71126 silly linkStuff minimist@0.0.8 has C:\Users\pozda\bmsk\node_modules\mkdirp\node_modules as its parent node_modules
71127 verbose linkBins minimist@0.0.8
71128 verbose linkMans minimist@0.0.8
71129 silly build mkdirp@0.5.1
71130 info linkStuff mkdirp@0.5.1
71131 silly linkStuff mkdirp@0.5.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71132 verbose linkBins mkdirp@0.5.1
71133 verbose link bins [ { mkdirp: 'bin/cmd.js' },
71133 verbose link bins   'C:\\Users\\pozda\\bmsk\\node_modules\\.bin',
71133 verbose link bins   false ]
71134 verbose linkMans mkdirp@0.5.1
71135 silly build ms@0.7.2
71136 info linkStuff ms@0.7.2
71137 silly linkStuff ms@0.7.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71138 verbose linkBins ms@0.7.2
71139 verbose linkMans ms@0.7.2
71140 silly build debug@2.6.1
71141 info linkStuff debug@2.6.1
71142 silly linkStuff debug@2.6.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71143 verbose linkBins debug@2.6.1
71144 verbose linkMans debug@2.6.1
71145 silly build debug-fabulous@0.0.4
71146 info linkStuff debug-fabulous@0.0.4
71147 silly linkStuff debug-fabulous@0.0.4 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71148 verbose linkBins debug-fabulous@0.0.4
71149 verbose linkMans debug-fabulous@0.0.4
71150 silly build minimatch@2.0.10
71151 info linkStuff minimatch@2.0.10
71152 silly linkStuff minimatch@2.0.10 has C:\Users\pozda\bmsk\node_modules\multimatch\node_modules as its parent node_modules
71153 verbose linkBins minimatch@2.0.10
71154 verbose linkMans minimatch@2.0.10
71155 silly build multimatch@2.0.0
71156 info linkStuff multimatch@2.0.0
71157 silly linkStuff multimatch@2.0.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71158 verbose linkBins multimatch@2.0.0
71159 verbose linkMans multimatch@2.0.0
71160 silly build mustache@2.3.0
71161 info linkStuff mustache@2.3.0
71162 silly linkStuff mustache@2.3.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71163 verbose linkBins mustache@2.3.0
71164 verbose link bins [ { mustache: './bin/mustache' },
71164 verbose link bins   'C:\\Users\\pozda\\bmsk\\node_modules\\.bin',
71164 verbose link bins   false ]
71165 verbose linkMans mustache@2.3.0
71166 silly build natives@1.1.0
71167 info linkStuff natives@1.1.0
71168 silly linkStuff natives@1.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71169 verbose linkBins natives@1.1.0
71170 verbose linkMans natives@1.1.0
71171 silly build negotiator@0.3.0
71172 info linkStuff negotiator@0.3.0
71173 silly linkStuff negotiator@0.3.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71174 verbose linkBins negotiator@0.3.0
71175 verbose linkMans negotiator@0.3.0
71176 silly build source-map@0.1.43
71177 info linkStuff source-map@0.1.43
71178 silly linkStuff source-map@0.1.43 has C:\Users\pozda\bmsk\node_modules\ng-annotate\node_modules as its parent node_modules
71179 verbose linkBins source-map@0.1.43
71180 verbose linkMans source-map@0.1.43
71181 silly build esprima@1.2.5
71182 info linkStuff esprima@1.2.5
71183 silly linkStuff esprima@1.2.5 has C:\Users\pozda\bmsk\node_modules\ng-dependencies\node_modules as its parent node_modules
71184 verbose linkBins esprima@1.2.5
71185 verbose link bins [ { esparse: './bin/esparse.js',
71185 verbose link bins     esvalidate: './bin/esvalidate.js' },
71185 verbose link bins   'C:\\Users\\pozda\\bmsk\\node_modules\\ng-dependencies\\node_modules\\.bin',
71185 verbose link bins   false ]
71186 verbose linkMans esprima@1.2.5
71187 silly build lodash@3.10.1
71188 info linkStuff lodash@3.10.1
71189 silly linkStuff lodash@3.10.1 has C:\Users\pozda\bmsk\node_modules\ng-dependencies\node_modules as its parent node_modules
71190 verbose linkBins lodash@3.10.1
71191 verbose linkMans lodash@3.10.1
71192 silly build ng-dependencies@0.2.0
71193 info linkStuff ng-dependencies@0.2.0
71194 silly linkStuff ng-dependencies@0.2.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71195 verbose linkBins ng-dependencies@0.2.0
71196 verbose linkMans ng-dependencies@0.2.0
71197 silly build normalize-path@2.0.1
71198 info linkStuff normalize-path@2.0.1
71199 silly linkStuff normalize-path@2.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71200 verbose linkBins normalize-path@2.0.1
71201 verbose linkMans normalize-path@2.0.1
71202 silly build normalize-range@0.1.2
71203 info linkStuff normalize-range@0.1.2
71204 silly linkStuff normalize-range@0.1.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71205 verbose linkBins normalize-range@0.1.2
71206 verbose linkMans normalize-range@0.1.2
71207 silly build num2fraction@1.2.2
71208 info linkStuff num2fraction@1.2.2
71209 silly linkStuff num2fraction@1.2.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71210 verbose linkBins num2fraction@1.2.2
71211 verbose linkMans num2fraction@1.2.2
71212 silly build number-is-nan@1.0.1
71213 info linkStuff number-is-nan@1.0.1
71214 silly linkStuff number-is-nan@1.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71215 verbose linkBins number-is-nan@1.0.1
71216 verbose linkMans number-is-nan@1.0.1
71217 silly build is-finite@1.0.2
71218 info linkStuff is-finite@1.0.2
71219 silly linkStuff is-finite@1.0.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71220 verbose linkBins is-finite@1.0.2
71221 verbose linkMans is-finite@1.0.2
71222 silly build is-fullwidth-code-point@1.0.0
71223 info linkStuff is-fullwidth-code-point@1.0.0
71224 silly linkStuff is-fullwidth-code-point@1.0.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71225 verbose linkBins is-fullwidth-code-point@1.0.0
71226 verbose linkMans is-fullwidth-code-point@1.0.0
71227 silly build oauth-sign@0.8.2
71228 info linkStuff oauth-sign@0.8.2
71229 silly linkStuff oauth-sign@0.8.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71230 verbose linkBins oauth-sign@0.8.2
71231 verbose linkMans oauth-sign@0.8.2
71232 silly build object-assign@4.1.1
71233 info linkStuff object-assign@4.1.1
71234 silly linkStuff object-assign@4.1.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71235 verbose linkBins object-assign@4.1.1
71236 verbose linkMans object-assign@4.1.1
71237 silly build object-keys@0.4.0
71238 info linkStuff object-keys@0.4.0
71239 silly linkStuff object-keys@0.4.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71240 verbose linkBins object-keys@0.4.0
71241 verbose linkMans object-keys@0.4.0
71242 silly build xtend@2.1.2
71243 info linkStuff xtend@2.1.2
71244 silly linkStuff xtend@2.1.2 has C:\Users\pozda\bmsk\node_modules\gulp-embedlr\node_modules as its parent node_modules
71245 verbose linkBins xtend@2.1.2
71246 verbose linkMans xtend@2.1.2
71247 silly build xtend@2.1.2
71248 info linkStuff xtend@2.1.2
71249 silly linkStuff xtend@2.1.2 has C:\Users\pozda\bmsk\node_modules\gulp-ng-annotate\node_modules\through2\node_modules as its parent node_modules
71250 verbose linkBins xtend@2.1.2
71251 verbose linkMans xtend@2.1.2
71252 silly build object.omit@2.0.1
71253 info linkStuff object.omit@2.0.1
71254 silly linkStuff object.omit@2.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71255 verbose linkBins object.omit@2.0.1
71256 verbose linkMans object.omit@2.0.1
71257 silly build on-finished@2.3.0
71258 info linkStuff on-finished@2.3.0
71259 silly linkStuff on-finished@2.3.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71260 verbose linkBins on-finished@2.3.0
71261 verbose linkMans on-finished@2.3.0
71262 silly build open@0.0.5
71263 info linkStuff open@0.0.5
71264 silly linkStuff open@0.0.5 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71265 verbose linkBins open@0.0.5
71266 verbose linkMans open@0.0.5
71267 silly build minimist@0.0.10
71268 info linkStuff minimist@0.0.10
71269 silly linkStuff minimist@0.0.10 has C:\Users\pozda\bmsk\node_modules\optimist\node_modules as its parent node_modules
71270 verbose linkBins minimist@0.0.10
71271 verbose linkMans minimist@0.0.10
71272 silly build ordered-esprima-props@1.1.0
71273 info linkStuff ordered-esprima-props@1.1.0
71274 silly linkStuff ordered-esprima-props@1.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71275 verbose linkBins ordered-esprima-props@1.1.0
71276 verbose linkMans ordered-esprima-props@1.1.0
71277 silly build ordered-ast-traverse@1.1.1
71278 info linkStuff ordered-ast-traverse@1.1.1
71279 silly linkStuff ordered-ast-traverse@1.1.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71280 verbose linkBins ordered-ast-traverse@1.1.1
71281 verbose linkMans ordered-ast-traverse@1.1.1
71282 silly build ordered-read-streams@0.1.0
71283 info linkStuff ordered-read-streams@0.1.0
71284 silly linkStuff ordered-read-streams@0.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71285 verbose linkBins ordered-read-streams@0.1.0
71286 verbose linkMans ordered-read-streams@0.1.0
71287 silly build os-homedir@1.0.2
71288 info linkStuff os-homedir@1.0.2
71289 silly linkStuff os-homedir@1.0.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71290 verbose linkBins os-homedir@1.0.2
71291 verbose linkMans os-homedir@1.0.2
71292 silly build expand-tilde@1.2.2
71293 info linkStuff expand-tilde@1.2.2
71294 silly linkStuff expand-tilde@1.2.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71295 verbose linkBins expand-tilde@1.2.2
71296 verbose linkMans expand-tilde@1.2.2
71297 silly build os-locale@1.4.0
71298 info linkStuff os-locale@1.4.0
71299 silly linkStuff os-locale@1.4.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71300 verbose linkBins os-locale@1.4.0
71301 verbose linkMans os-locale@1.4.0
71302 silly build parse-glob@3.0.4
71303 info linkStuff parse-glob@3.0.4
71304 silly linkStuff parse-glob@3.0.4 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71305 verbose linkBins parse-glob@3.0.4
71306 verbose linkMans parse-glob@3.0.4
71307 silly build parse-json@2.2.0
71308 info linkStuff parse-json@2.2.0
71309 silly linkStuff parse-json@2.2.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71310 verbose linkBins parse-json@2.2.0
71311 verbose linkMans parse-json@2.2.0
71312 silly build parse-passwd@1.0.0
71313 info linkStuff parse-passwd@1.0.0
71314 silly linkStuff parse-passwd@1.0.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71315 verbose linkBins parse-passwd@1.0.0
71316 verbose linkMans parse-passwd@1.0.0
71317 silly build homedir-polyfill@1.0.1
71318 info linkStuff homedir-polyfill@1.0.1
71319 silly linkStuff homedir-polyfill@1.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71320 verbose linkBins homedir-polyfill@1.0.1
71321 verbose linkMans homedir-polyfill@1.0.1
71322 silly build parserlib@0.2.5
71323 info linkStuff parserlib@0.2.5
71324 silly linkStuff parserlib@0.2.5 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71325 verbose linkBins parserlib@0.2.5
71326 verbose linkMans parserlib@0.2.5
71327 silly build csslint@0.10.0
71328 info linkStuff csslint@0.10.0
71329 silly linkStuff csslint@0.10.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71330 verbose linkBins csslint@0.10.0
71331 verbose link bins [ { csslint: './cli.js' },
71331 verbose link bins   'C:\\Users\\pozda\\bmsk\\node_modules\\.bin',
71331 verbose link bins   false ]
71332 verbose linkMans csslint@0.10.0
71333 silly build parseurl@1.3.1
71334 info linkStuff parseurl@1.3.1
71335 silly linkStuff parseurl@1.3.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71336 verbose linkBins parseurl@1.3.1
71337 verbose linkMans parseurl@1.3.1
71338 silly build path-dirname@1.0.2
71339 info linkStuff path-dirname@1.0.2
71340 silly linkStuff path-dirname@1.0.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71341 verbose linkBins path-dirname@1.0.2
71342 verbose linkMans path-dirname@1.0.2
71343 silly build glob-parent@3.1.0
71344 info linkStuff glob-parent@3.1.0
71345 silly linkStuff glob-parent@3.1.0 has C:\Users\pozda\bmsk\node_modules\main-bower-files\node_modules as its parent node_modules
71346 verbose linkBins glob-parent@3.1.0
71347 verbose linkMans glob-parent@3.1.0
71348 silly build path-is-absolute@1.0.1
71349 info linkStuff path-is-absolute@1.0.1
71350 silly linkStuff path-is-absolute@1.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71351 verbose linkBins path-is-absolute@1.0.1
71352 verbose linkMans path-is-absolute@1.0.1
71353 silly build path-parse@1.0.5
71354 info linkStuff path-parse@1.0.5
71355 silly linkStuff path-parse@1.0.5 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71356 verbose linkBins path-parse@1.0.5
71357 verbose linkMans path-parse@1.0.5
71358 silly build path-root-regex@0.1.2
71359 info linkStuff path-root-regex@0.1.2
71360 silly linkStuff path-root-regex@0.1.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71361 verbose linkBins path-root-regex@0.1.2
71362 verbose linkMans path-root-regex@0.1.2
71363 silly build path-root@0.1.1
71364 info linkStuff path-root@0.1.1
71365 silly linkStuff path-root@0.1.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71366 verbose linkBins path-root@0.1.1
71367 verbose linkMans path-root@0.1.1
71368 silly build pause@0.0.1
71369 info linkStuff pause@0.0.1
71370 silly linkStuff pause@0.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71371 verbose linkBins pause@0.0.1
71372 verbose linkMans pause@0.0.1
71373 silly build pend@1.2.0
71374 info linkStuff pend@1.2.0
71375 silly linkStuff pend@1.2.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71376 verbose linkBins pend@1.2.0
71377 verbose linkMans pend@1.2.0
71378 silly build fd-slicer@1.0.1
71379 info linkStuff fd-slicer@1.0.1
71380 silly linkStuff fd-slicer@1.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71381 verbose linkBins fd-slicer@1.0.1
71382 verbose linkMans fd-slicer@1.0.1
71383 silly build fs-extra@1.0.0
71384 info linkStuff fs-extra@1.0.0
71385 silly linkStuff fs-extra@1.0.0 has C:\Users\pozda\bmsk\node_modules\phantomjs-prebuilt\node_modules as its parent node_modules
71386 verbose linkBins fs-extra@1.0.0
71387 verbose linkMans fs-extra@1.0.0
71388 silly build pify@2.3.0
71389 info linkStuff pify@2.3.0
71390 silly linkStuff pify@2.3.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71391 verbose linkBins pify@2.3.0
71392 verbose linkMans pify@2.3.0
71393 silly build pinkie@2.0.4
71394 info linkStuff pinkie@2.0.4
71395 silly linkStuff pinkie@2.0.4 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71396 verbose linkBins pinkie@2.0.4
71397 verbose linkMans pinkie@2.0.4
71398 silly build pinkie-promise@2.0.1
71399 info linkStuff pinkie-promise@2.0.1
71400 silly linkStuff pinkie-promise@2.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71401 verbose linkBins pinkie-promise@2.0.1
71402 verbose linkMans pinkie-promise@2.0.1
71403 silly build hasha@2.2.0
71404 info linkStuff hasha@2.2.0
71405 silly linkStuff hasha@2.2.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71406 verbose linkBins hasha@2.2.0
71407 verbose linkMans hasha@2.2.0
71408 silly build load-json-file@1.1.0
71409 info linkStuff load-json-file@1.1.0
71410 silly linkStuff load-json-file@1.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71411 verbose linkBins load-json-file@1.1.0
71412 verbose linkMans load-json-file@1.1.0
71413 silly build path-exists@2.1.0
71414 info linkStuff path-exists@2.1.0
71415 silly linkStuff path-exists@2.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71416 verbose linkBins path-exists@2.1.0
71417 verbose linkMans path-exists@2.1.0
71418 silly build find-up@1.1.2
71419 info linkStuff find-up@1.1.2
71420 silly linkStuff find-up@1.1.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71421 verbose linkBins find-up@1.1.2
71422 verbose linkMans find-up@1.1.2
71423 silly build path-type@1.1.0
71424 info linkStuff path-type@1.1.0
71425 silly linkStuff path-type@1.1.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71426 verbose linkBins path-type@1.1.0
71427 verbose linkMans path-type@1.1.0
71428 silly build postcss-message-helpers@2.0.0
71429 info linkStuff postcss-message-helpers@2.0.0
71430 silly linkStuff postcss-message-helpers@2.0.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71431 verbose linkBins postcss-message-helpers@2.0.0
71432 verbose linkMans postcss-message-helpers@2.0.0
71433 silly build postcss-value-parser@3.3.0
71434 info linkStuff postcss-value-parser@3.3.0
71435 silly linkStuff postcss-value-parser@3.3.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71436 verbose linkBins postcss-value-parser@3.3.0
71437 verbose linkMans postcss-value-parser@3.3.0
71438 silly build prepend-http@1.0.4
71439 info linkStuff prepend-http@1.0.4
71440 silly linkStuff prepend-http@1.0.4 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71441 verbose linkBins prepend-http@1.0.4
71442 verbose linkMans prepend-http@1.0.4
71443 silly build preserve@0.2.0
71444 info linkStuff preserve@0.2.0
71445 silly linkStuff preserve@0.2.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71446 verbose linkBins preserve@0.2.0
71447 verbose linkMans preserve@0.2.0
71448 silly build pretty-hrtime@1.0.3
71449 info linkStuff pretty-hrtime@1.0.3
71450 silly linkStuff pretty-hrtime@1.0.3 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71451 verbose linkBins pretty-hrtime@1.0.3
71452 verbose linkMans pretty-hrtime@1.0.3
71453 silly build prettysize@0.0.3
71454 info linkStuff prettysize@0.0.3
71455 silly linkStuff prettysize@0.0.3 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71456 verbose linkBins prettysize@0.0.3
71457 verbose linkMans prettysize@0.0.3
71458 silly build process-nextick-args@1.0.7
71459 info linkStuff process-nextick-args@1.0.7
71460 silly linkStuff process-nextick-args@1.0.7 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71461 verbose linkBins process-nextick-args@1.0.7
71462 verbose linkMans process-nextick-args@1.0.7
71463 silly build progress@1.1.8
71464 info linkStuff progress@1.1.8
71465 silly linkStuff progress@1.1.8 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71466 verbose linkBins progress@1.1.8
71467 verbose linkMans progress@1.1.8
71468 silly build punycode@1.4.1
71469 info linkStuff punycode@1.4.1
71470 silly linkStuff punycode@1.4.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71471 verbose linkBins punycode@1.4.1
71472 verbose linkMans punycode@1.4.1
71473 silly build q@1.4.1
71474 info linkStuff q@1.4.1
71475 silly linkStuff q@1.4.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71476 verbose linkBins q@1.4.1
71477 verbose linkMans q@1.4.1
71478 silly build coa@1.0.1
71479 info linkStuff coa@1.0.1
71480 silly linkStuff coa@1.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71481 verbose linkBins coa@1.0.1
71482 verbose linkMans coa@1.0.1
71483 silly build qs@2.2.5
71484 info linkStuff qs@2.2.5
71485 silly linkStuff qs@2.2.5 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71486 verbose linkBins qs@2.2.5
71487 verbose linkMans qs@2.2.5
71488 silly build randomatic@1.1.6
71489 info linkStuff randomatic@1.1.6
71490 silly linkStuff randomatic@1.1.6 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71491 verbose linkBins randomatic@1.1.6
71492 verbose linkMans randomatic@1.1.6
71493 silly build range-parser@0.0.4
71494 info linkStuff range-parser@0.0.4
71495 silly linkStuff range-parser@0.0.4 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71496 verbose linkBins range-parser@0.0.4
71497 verbose linkMans range-parser@0.0.4
71498 silly build bytes@2.4.0
71499 info linkStuff bytes@2.4.0
71500 silly linkStuff bytes@2.4.0 has C:\Users\pozda\bmsk\node_modules\raw-body\node_modules as its parent node_modules
71501 verbose linkBins bytes@2.4.0
71502 verbose linkMans bytes@2.4.0
71503 silly build rcfinder@0.1.9
71504 info linkStuff rcfinder@0.1.9
71505 silly linkStuff rcfinder@0.1.9 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71506 verbose linkBins rcfinder@0.1.9
71507 verbose linkMans rcfinder@0.1.9
71508 silly build lodash@2.4.2
71509 info linkStuff lodash@2.4.2
71510 silly linkStuff lodash@2.4.2 has C:\Users\pozda\bmsk\node_modules\rcloader\node_modules as its parent node_modules
71511 verbose linkBins lodash@2.4.2
71512 verbose linkMans lodash@2.4.2
71513 silly build rcloader@0.1.2
71514 info linkStuff rcloader@0.1.2
71515 silly linkStuff rcloader@0.1.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71516 verbose linkBins rcloader@0.1.2
71517 verbose linkMans rcloader@0.1.2
71518 silly build reduce-function-call@1.0.2
71519 info linkStuff reduce-function-call@1.0.2
71520 silly linkStuff reduce-function-call@1.0.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71521 verbose linkBins reduce-function-call@1.0.2
71522 verbose linkMans reduce-function-call@1.0.2
71523 silly build reduce-css-calc@1.3.0
71524 info linkStuff reduce-css-calc@1.3.0
71525 silly linkStuff reduce-css-calc@1.3.0 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71526 verbose linkBins reduce-css-calc@1.3.0
71527 verbose linkMans reduce-css-calc@1.3.0
71528 silly build regex-cache@0.4.3
71529 info linkStuff regex-cache@0.4.3
71530 silly linkStuff regex-cache@0.4.3 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71531 verbose linkBins regex-cache@0.4.3
71532 verbose linkMans regex-cache@0.4.3
71533 silly build relateurl@0.2.7
71534 info linkStuff relateurl@0.2.7
71535 silly linkStuff relateurl@0.2.7 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71536 verbose linkBins relateurl@0.2.7
71537 verbose linkMans relateurl@0.2.7
71538 silly build remove-trailing-separator@1.0.1
71539 info linkStuff remove-trailing-separator@1.0.1
71540 silly linkStuff remove-trailing-separator@1.0.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71541 verbose linkBins remove-trailing-separator@1.0.1
71542 verbose linkMans remove-trailing-separator@1.0.1
71543 silly build repeat-element@1.1.2
71544 info linkStuff repeat-element@1.1.2
71545 silly linkStuff repeat-element@1.1.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71546 verbose linkBins repeat-element@1.1.2
71547 verbose linkMans repeat-element@1.1.2
71548 silly build repeat-string@1.6.1
71549 info linkStuff repeat-string@1.6.1
71550 silly linkStuff repeat-string@1.6.1 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71551 verbose linkBins repeat-string@1.6.1
71552 verbose linkMans repeat-string@1.6.1
71553 silly build align-text@0.1.4
71554 info linkStuff align-text@0.1.4
71555 silly linkStuff align-text@0.1.4 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71556 verbose linkBins align-text@0.1.4
71557 verbose linkMans align-text@0.1.4
71558 silly build center-align@0.1.3
71559 info linkStuff center-align@0.1.3
71560 silly linkStuff center-align@0.1.3 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71561 verbose linkBins center-align@0.1.3
71562 verbose linkMans center-align@0.1.3
71563 silly build fill-range@2.2.3
71564 info linkStuff fill-range@2.2.3
71565 silly linkStuff fill-range@2.2.3 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71566 verbose linkBins fill-range@2.2.3
71567 verbose linkMans fill-range@2.2.3
71568 silly build expand-range@1.8.2
71569 info linkStuff expand-range@1.8.2
71570 silly linkStuff expand-range@1.8.2 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71571 verbose linkBins expand-range@1.8.2
71572 verbose linkMans expand-range@1.8.2
71573 silly build braces@1.8.5
71574 info linkStuff braces@1.8.5
71575 silly linkStuff braces@1.8.5 has C:\Users\pozda\bmsk\node_modules as its parent node_modules
71576 verbose linkBins braces@1.8.5
71577 verbose linkMans braces@1.8.5
71578 silly build micromatch@2.3.11
